,date,open,high,low,close,flag,EMA1,EMA2,EMA3,EMA4,smalemadifference,longemadifference
0,2024-04-15 14:56:00+05:30,440.8,440.8,440.8,440.8,0,,,,,,
1,2024-04-15 14:59:00+05:30,433.55,433.55,433.55,433.55,1,,,,,,
2,2024-04-15 15:12:00+05:30,426.2,426.2,426.2,426.2,1,433.51666666666665,,,,,
3,2024-04-16 09:15:00+05:30,350.45,350.45,350.45,350.45,0,391.98333333333335,,,,,
4,2024-04-16 10:53:00+05:30,344.75,344.75,344.75,344.75,1,368.3666666666667,,,,,
5,2024-04-16 12:50:00+05:30,317.8,317.8,317.8,317.8,1,343.08333333333337,385.5916666666667,,,-42.508333333333326,
6,2024-04-16 13:21:00+05:30,286.45,286.45,286.45,286.45,1,314.76666666666665,357.26547619047625,,,-42.4988095238096,
7,2024-04-16 14:11:00+05:30,322.8,322.8,322.8,322.8,0,318.7833333333333,347.41819727891163,,,-28.63486394557833,
8,2024-04-16 14:12:00+05:30,322.8,322.8,322.8,322.8,0,320.79166666666663,340.384426627794,,,-19.5927599611274,
9,2024-04-16 15:28:00+05:30,322.8,322.8,322.8,322.8,1,321.79583333333335,335.3603047341386,,,-13.564471400805246,
10,2024-04-18 09:43:00+05:30,322.8,322.8,322.8,322.8,0,322.29791666666665,331.7716462386704,,,-9.473729572003776,
11,2024-04-18 10:07:00+05:30,322.8,322.8,322.8,322.8,1,322.5489583333333,329.2083187419074,,,-6.659360408574116,
12,2024-04-18 10:31:00+05:30,315.75,315.75,315.75,315.75,1,319.14947916666665,325.36308481564816,,,-6.213605648981513,
13,2024-04-18 10:34:00+05:30,319.75,320.3,319.75,319.75,8,319.4497395833333,323.7593462968915,,,-4.309606713558196,
14,2024-04-18 10:36:00+05:30,322.9,322.9,322.2,322.9,8,321.17486979166665,323.5138187834939,,,-2.3389489918272375,
15,2024-04-18 10:37:00+05:30,328.2,328.2,328.2,328.2,4,324.68743489583335,324.8527277024956,,,-0.16529280666225077,
16,2024-04-18 11:43:00+05:30,357.0,357.0,357.0,357.0,1,340.8437174479167,334.0376626446397,,,6.806054803276993,
17,2024-04-18 12:18:00+05:30,379.0,379.0,379.0,379.0,1,359.92185872395834,346.8840447461712,,,13.037813977787152,
18,2024-04-18 12:22:00+05:30,386.9,386.9,386.9,386.9,1,373.41092936197913,358.3171748186937,,,15.093754543285456,
19,2024-04-18 12:24:00+05:30,386.9,386.9,386.9,386.9,1,380.15546468098955,366.4836962990669,350.5199999999999,,13.671768381922675,
20,2024-04-18 12:25:00+05:30,386.25,386.25,386.25,386.25,1,383.2027323404948,372.13121164219064,353.9228571428571,,11.071520698304141,
21,2024-04-18 12:40:00+05:30,385.4,385.4,385.4,385.4,1,384.3013661702474,375.9222940301362,356.92068027210877,,8.379072140111191,
22,2024-04-18 13:20:00+05:30,381.2,381.2,381.2,381.2,2,382.7506830851237,377.43021002152585,359.23299643666985,,5.320473063597831,
23,2024-04-18 13:21:00+05:30,380.85,380.85,380.85,380.85,9,381.80034154256185,378.4072928725185,361.29175868079653,,3.393048670043356,
24,2024-04-18 13:26:00+05:30,370.0,370.0,370.0,370.0,1,375.90017077128095,376.00520919465606,362.12111499691116,,-0.10503842337510605,
25,2024-04-18 13:27:00+05:30,277.85,277.85,277.85,277.85,3,326.8750853856405,347.96086371046863,354.09529452101486,,-21.08577832482814,
26,2024-04-18 13:28:00+05:30,306.95,307.7,306.95,306.95,4,316.91254269282024,336.24347407890616,349.60526647139443,,-19.330931386085922,
27,2024-04-18 13:30:00+05:30,296.5,300.1,296.5,296.5,9,306.7062713464101,324.88819577064726,344.54762204554737,,-18.18192442423714,
28,2024-04-18 14:04:00+05:30,316.5,316.5,315.9,315.9,0,311.303135673205,322.3201398361766,341.8192770888286,,-11.017004162971602,
29,2024-04-18 14:05:00+05:30,315.9,315.9,311.85,311.85,2,311.5765678366025,319.32867131155473,338.96506022322586,347.43833333333333,-7.752103474952207,-8.47327311010747
30,2024-04-18 14:15:00+05:30,319.1,319.1,319.1,319.1,4,315.3382839183013,319.26333665111054,337.0731497257758,345.6100537634409,-3.925052732809263,-8.536904037665067
31,2024-04-18 14:19:00+05:30,324.8,324.8,324.8,324.8,1,320.06914195915067,320.845240465079,335.90427832332097,344.2674696496705,-0.776098505928303,-8.363191326349522
32,2024-04-18 14:30:00+05:30,323.45,323.45,317.75,323.45,8,321.7595709795753,321.5894574750564,334.71815657824277,342.92440709162724,0.17011350451889484,-8.206250513384475
33,2024-04-18 14:38:00+05:30,305.6,306.95,305.6,306.95,2,314.3547854897877,317.40675533932597,332.0735702374578,340.6034776018449,-3.0519698495382954,-8.5299073643871
34,2024-04-18 14:39:00+05:30,301.6,301.6,301.6,301.6,1,307.97739274489385,312.89053952809,329.171325452938,338.08712420817744,-4.913146783196169,-8.91579875523945
35,2024-04-18 14:46:00+05:30,280.05,280.05,280.05,280.05,1,294.01369637244693,303.50752823435005,324.49310398122964,334.3427936141015,-9.493831861903118,-9.849689632871844
36,2024-04-18 14:56:00+05:30,280.0,280.0,280.0,280.0,0,287.00684818622346,296.7910915959643,320.25566550682686,330.83680692932074,-9.784243409740839,-10.581141422493886
37,2024-04-18 14:57:00+05:30,280.0,282.1,280.0,282.1,3,284.55342409311174,292.59363685426024,316.62179260141477,327.6924968048484,-8.040212761148496,-11.07070420343365
38,2024-04-18 14:58:00+05:30,269.0,269.0,269.0,269.0,1,276.7767120465559,285.852597753043,312.08638378223236,323.90588410776144,-9.075885706487156,-11.819500325529077
39,2024-04-18 15:06:00+05:30,265.85,265.85,265.85,265.85,1,271.31335602327795,280.1375698236022,307.68291866011504,320.1603431975833,-8.82421380032423,-12.477424537468266
